type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
1,2022-02-16 11:12:40+0000,284,2.164502143859863,0.1834189295768738,1001.0,0.2827172875404358,60.0
6,2022-02-16 10:55:10+0000,865,1.481481432914734,0.2043735831975937,1721.0,0.5020337104797363,119.0
1,2022-02-14 11:50:09+0000,287,0.7446016073226929,0.2586652934551239,1002.0,0.2854291498661041,43.0
6,2022-02-14 11:29:59+0000,933,3.984063863754272,0.4690431654453278,1484.0,0.6280323266983032,57.0
6,2022-02-14 11:27:50+0000,51,2.873563289642334,0.5851374864578247,72.0,0.6944444179534912,2.0
6,2022-02-13 11:15:19+0000,957,2.538071155548096,0.1767721325159073,1650.0,0.5793939232826233,113.0
1,2022-02-13 11:09:12+0000,256,0.5760368704795837,0.1939864158630371,1000.0,0.2549999952316284,37.0
6,2022-02-13 10:46:00+0000,1087,3.952569246292114,0.3306878507137299,1668.0,0.6510791182518005,136.0
1,2022-02-12 11:25:02+0000,259,0.5571030974388123,0.1928268522024155,1011.0,0.2551928758621216,44.0
6,2022-02-12 11:00:38+0000,1131,9.523809432983398,0.4428698122501373,1742.0,0.6481056213378906,137.0
6,2022-02-11 11:55:30+0000,931,3.184713363647461,0.5649717450141907,1029.0,0.9018464684486389,91.0
1,2022-02-11 11:49:54+0000,264,0.7880220413208008,0.1980197876691818,1004.0,0.2599601447582245,39.0
6,2022-02-11 11:16:54+0000,1532,6.410256385803223,0.5858230590820312,1716.0,0.8916084170341492,140.0
6,2022-02-06 11:44:52+0000,1373,1.420454502105713,0.4482294917106628,1888.0,0.7266949415206909,107.0
1,2022-02-06 11:36:48+0000,272,0.6361322999000549,0.2324500232934952,1013.0,0.2675222158432007,34.0
6,2022-02-06 11:11:41+0000,1173,4.385964870452881,0.1683501601219177,1867.0,0.6277450323104858,126.0
6,2022-02-05 11:51:50+0000,958,3.355704545974731,0.4228329658508301,1301.0,0.735588014125824,101.0
1,2022-02-05 11:46:47+0000,283,0.6910849809646606,0.2290425896644592,1006.0,0.2803180813789368,50.0
6,2022-02-05 11:09:32+0000,1686,4.464285373687744,0.4264392256736755,2003.0,0.8412381410598755,173.0
6,2022-02-04 11:07:36+0000,515,4.291845798492432,0.5780346989631653,642.0,0.8006230592727661,58.0
6,2022-02-03 10:50:22+0000,1222,5.917159557342529,0.5524861812591553,1200.0,1.017500042915344,124.0
1,2022-02-03 10:41:12+0000,265,0.6090134382247925,0.1992825716733932,1001.0,0.2637362778186798,39.0
6,2022-02-03 10:07:31+0000,1475,9.090909004211426,0.3043213486671448,1798.0,0.8197997808456421,138.0
1,2022-01-13 09:23:16+0000,290,2.341920375823975,0.198216050863266,1004.0,0.2878485918045044,60.0
1,2022-01-11 10:42:27+0000,590,0.6402048468589783,0.2067397236824036,2001.0,0.2943528294563293,98.0
6,2022-01-11 10:40:55+0000,49,2.54452919960022,0.7358351945877075,57.0,0.7894737124443054,0.0
6,2022-01-11 10:39:06+0000,66,8.547008514404297,0.6207324862480164,53.0,1.226415038108826,3.0
1,2022-01-10 13:39:17+0000,453,7.246376991271973,0.2500625252723694,1191.0,0.3786733746528625,71.0
